Infections,Deaths,Recoveries,Active,New Infections,Hospital,Hospital Queue
14772,738,13989,45,3,45,0
14773,738,13993,42,1,42,0
14777,738,13999,40,4,40,0
14783,738,14004,41,6,41,0
14783,738,14007,38,0,38,0
14789,738,14010,41,6,41,0
14796,738,14011,47,7,47,0
14796,738,14012,46,0,46,0
14804,738,14015,51,8,51,0
14808,738,14016,54,4,54,0
14811,739,14019,53,3,53,0
14814,739,14021,54,3,54,0
14817,739,14023,55,3,55,0
14821,739,14026,56,4,56,0
14825,739,14030,56,4,56,0
14827,739,14033,55,2,55,0
14828,739,14034,55,1,55,0
14829,739,14038,52,1,52,0
14832,739,14044,49,3,49,0
14835,739,14044,52,3,52,0
14840,739,14050,51,5,51,0
14845,739,14057,49,5,49,0
14846,739,14057,50,1,50,0
14848,739,14065,44,2,44,0
14851,740,14068,43,3,43,0
14851,740,14071,40,0,40,0
14860,740,14074,46,9,46,0
14864,740,14077,47,4,47,0
14874,740,14081,53,10,53,0
14875,740,14085,50,1,50,0
14879,740,14087,52,4,52,0
14881,740,14088,53,2,53,0
14883,740,14089,54,2,54,0
14885,740,14092,53,2,53,0
14887,740,14095,52,2,52,0
14888,740,14100,48,1,48,0
14891,740,14105,46,3,46,0
14891,740,14106,45,0,45,0
14892,740,14108,44,1,44,0
14894,740,14111,43,2,43,0
14894,740,14111,43,0,43,0
14894,740,14120,34,0,34,0
14894,740,14124,30,0,30,0
14894,741,14133,20,0,20,0
14894,741,14134,19,0,19,0
14895,741,14138,16,1,16,0
14895,741,14140,14,0,14,0
14895,741,14142,12,0,12,0
